"Reference","Value","Qty","Mouser Part Number","RS order number"
"C1","100nF","1","581-KGM15BR71H104KM","242-7372"
"J1,J2,J3,J4","-- mixed values --","4","",""
"U1","NCT75DR2G","1","863-NCT75DR2G","805-1854"
